"ID","Class1","Title","Content","AddDate","orderid","Class2","Class3","color","IsTop","islook","About","num","SmallPic","Video_URL"
106,501,"物联网医学：医生将用“千里眼”全天候看病","<p style=""text-align: center""><span style=""font-size: small"">&nbsp;<span style=""font-family: 宋体""><font color=""#808080"">日期：2010-10-18&nbsp;&nbsp;来源：东方早报</font></span></span></p>
<p style=""text-align: center""><span style=""font-size: small"">&nbsp;</span></p>
<div id=""zw""><span style=""font-size: small""><!--enpcontent--></span>
<p><span style=""font-size: small"">　&nbsp;&nbsp;&nbsp; 物联网医学技术未来两至三年内将在国内运用　届时医院门诊量或大幅下降<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 所谓物联网医学，即利用传感技术，将一枚大至手机、小到指甲片大小的传感器贴在患者身上，传感器的一个终端嵌入和装备到医疗检测设备中，医生通过自己的手机或电脑连接到另一终端后，可随时随地实现对病人的检查、诊断和治疗。　　<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;医院利用无线传感技术，实现对居家病人的全天候检查和诊断。据悉，远程看病，两三年内就有可能实现。<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;昨天，亚太地区最高学术水平会议&mdash;&mdash;第七届上海国际呼吸病研讨会开幕，复旦大学附属中山医院首次向国内医学界倡导&ldquo;物联网医学&rdquo;，即利用无线传感技术，实现对居家病人的全天候检查和诊断。据悉，这项技术将于2－3年内在国内展开应用。<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 相隔万里也能实时诊断<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 中山医院呼吸科主任白春学教授介绍，由中山医院领军负责的该项目研发组，目前已经成功尝试将物联网技术应用在肺功能监测上。&ldquo;所谓物联网医学，即利用云计算和传感技术，将一枚大至手机、小到指甲片大小的传感器贴在患者身上，传感器的一个终端嵌入和装备到医疗检测设备中，医生通过自己的手机或电脑连接到另一终端后，可随时随地实现对病人的检查、诊断和治疗。&rdquo;据介绍，通过无线传感技术，医学专家与病患即使相隔万里，也同样能实现实时诊断。&ldquo;目前已经确定的诊断包括为病人做心电图、心电监护、肺功能和呼吸音监测，特别适合跨区域的、甚至是全球性的危重医学会诊，此外类似慢肺阻、哮喘、睡眠障碍等慢性病人可实现在家接受长期病情随访。&rdquo;白春学表示，远程传送监测数据的时间只需1－2秒，整个诊断处理的时间只需5分钟。<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 英国已实现技术应用<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 与会国内外专家对该技术纷纷表示极大关注，认为该技术有望将现有的&ldquo;病发后到医院&rdquo;的被动治疗模式改良为&ldquo;在家预警和及早主动治疗&rdquo;的现代医学模式，同时可以达到降低门诊就诊次数和就诊费用的目的。据悉，目前全球发达国家中已有英国实现这一技术应用，英国社区门诊量为此减少了40％。<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 据悉，今后国内可能建立起一个计算能力超强的中心计算机集群，对整个网络内的全国医生、病人和设备实现管理和控制。<br />
&nbsp;</span></p>
</div>
<p><span style=""font-size: small"">&nbsp;</span></p>","2011/6/11, 12:25:58",24,513,0,,1,0,,10,,
107,425,"第2届全国肺癌及介入肺脏病学学术论坛在温州成功举办","<p>第2届全国肺癌及介入肺脏病学学术论坛在温州成功举办</p>","2011/6/11, 12:27:28",25,498,0,,1,0,"第2届全国肺癌及介入肺脏病学学术论坛在温州成功举办",10,,
108,501,"对重度吸烟者进行CT扫描可使肺癌死亡率降低20%","<div>
<div>&nbsp;</div>
By PATRICE WENDLING 2010-11-04&nbsp;&nbsp;<br />
&nbsp;</div>
<div>转载自&nbsp;&nbsp; 爱思唯尔医学网</div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div>最新进展&nbsp;</div>
<div>&nbsp;</div>
<div>一项大规模随机化试验首次证明，用低剂量螺旋CT进行筛查可以显著降低受试者肺癌死亡率。</div>
<div>&nbsp;</div>
<div>美国国家肺筛查试验(NLST)始于2002年，试验由美国放射学会影像网络和肺筛查研究组织在全美33处不同地点进行，共纳入3,500例高肺癌风险的美国老年男性和女性。受试者年龄在55~74岁间且均为重度吸烟者(吸烟史&ge;30包&middot;年)。受试者被安排随机接受3次/年的低剂量螺旋计算机断层扫描(CT)或胸部X线摄影。</div>
<div>&nbsp;</div>
<div>截至2010年10月20日，CT组共有354例患者死于肺癌，而X线胸片组有442例。在NLST全部死亡患者中有25%死于肺癌。与通过标准胸部X线筛检相比，应用低剂量螺旋CT对重度吸烟者进行筛查可使这类患者的肺癌死亡率降低20.3%；应用低剂量螺旋CT筛查的受试者的全死因死亡率(包括肺癌)较未接受此筛检者低7%。</div>
<div>&nbsp;</div>
<div>在2009年曾有一项随机化试验对低剂量CT筛查的可行性进行了研究，结果表明，CT筛查的假阳性率是X线胸片筛查的2倍，还使患者所接受的不必要的干预措施增多，但低剂量CT筛查出肺癌患者的人数较胸部X线多出1倍。</div>
<div>&nbsp;</div>
<div>NLST所纳入的受试者在种族构成上对研究总体(美国高危人群)具备代表性，但这些受试者接受筛检的积极性很高，且其接受筛检的地点均局限于大型医学中心。所以，本研究的相关结论或许无法准确预测对其他人群进行CT筛查的结果。低剂量螺旋CT同样存在一些缺点：首先，多重CT扫描会加重患者的辐射累积；某些肺癌诊断未明需要额外检查的患者可能出现放射相关并发症；再者，通过CT影像发现一些偶然病变可能会使患者出现焦虑或增加他们经济上的负担。</div>
<div>&nbsp;</div>
<div>本研究表明，利用低剂量螺旋CT筛检可使肺癌死亡率降低20%，这一益处一旦得以确人，将为肺癌的筛查和治疗带来重大变革，将有无数肺癌患者因为此项技术而免于死亡(相当于每年死于乳腺癌的人数总和)。</div>
<div>&nbsp;</div>
<div>本研究由美国国立癌症研究所赞助。</div>","2011/6/11, 12:31:11",26,514,0,,1,0,,10,,
118,425,"上海力孚医疗器械有限公司是专业从事电...","<p>上海力孚医疗器械有限公司是专业从事电...</p>","2011/6/17, 01:35:23",34,498,0,,1,0,"上海力孚医疗器械有限公司是专业从事电...",10,,
119,425,"新闻新闻新闻","<p>新闻新闻新闻</p>","2011/6/20, 17:43:05",35,499,0,,,0,"新闻新闻新闻",10,,
120,425,"新闻新闻新闻新闻",,"2011/6/20, 17:43:16",36,495,0,,,0,,10,,
121,425,"首席设计师 200元/平米起","<p>首席设计师 200元/平米起<br />
&nbsp;</p>","2011/6/20, 17:43:27",37,498,0,,,0,"首席设计师 200元/平米起<br/>",10,,
122,425,"让男人更精致 西裤修饰论","<p>让男人更精致 西裤修饰论</p>","2011/6/20, 17:43:51",38,495,0,,,0,"让男人更精致 西裤修饰论",10,,
123,425,"如何演绎无敌潮爆型男服无敌潮爆","<p>如何演绎无敌潮爆型男服无敌潮爆</p>","2011/9/6, 15:47:31",39,496,0,,,0,"如何演绎无敌潮爆型男服无敌潮爆",10,,
124,425,"时尚花衬衫打造无敌潮爆型男","<p>时尚花衬衫打造无敌潮爆型男</p>","2011/9/6, 15:47:42",40,495,0,,,0,"时尚花衬衫打造无敌潮爆型男",10,,
125,425,"男人衣柜中社交礼服应该怎样无敌潮","<p>男人衣柜中社交礼服应该怎样无敌潮</p>","2011/9/6, 15:47:54",41,495,0,,,0,"男人衣柜中社交礼服应该怎样无敌潮",10,,
126,425,"白衬衫 经典永恒的时装杰作无敌潮爆","<p>白衬衫 经典永恒的时装杰作无敌潮爆</p>","2011/9/6, 15:48:48",42,495,0,,,0,"白衬衫 经典永恒的时装杰作无敌潮爆",10,,
127,425,"男人衣柜中社交礼服应该怎样无敌...","<p>男人衣柜中社交礼服应该怎样无敌...</p>","2011/9/6, 15:48:59",43,497,0,,,0,"男人衣柜中社交礼服应该怎样无敌...",10,,
128,425,"设计总监 300元/平米起","<p>设计总监 300元/平米起<br />
&nbsp;</p>","2011/9/6, 15:49:11",44,495,0,,,0,"设计总监 300元/平米起<br/>",10,,
129,425,"富士亨摄影化学品（苏州）有限公司","<p>富士亨摄影化学品（苏州）有限公司</p>","2011/10/20, 11:03:40",45,495,0,,,0,"富士亨摄影化学品（苏州）有限公司",10,,
130,501,"发改委官员：全年CPI预计超过4% 达沃发改委官员：全年CPI预计超过","<p>发改委官员：全年CPI预计超过4% 达沃发改委官员：全年CPI预计超过...</p>","2011/10/20, 11:05:18",46,513,0,,,0,"发改委官员：全年CPI预计超过4% 达沃发改委官员：全年CPI预计超过...",10,,
131,425,"2011-09-20","<p>ds</p>","2011/10/20, 11:15:29",47,496,0,,,0,"ds",10,,
132,425,"432","<p>2432</p>","2011/11/8, 11:50:31",48,500,0,,,0,"11",10,,
